D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10000|2016|Toyota|RAV4|van|Red|150000|15000.33
10001|2021|Toyota|Corolla|truck|Black|35000|31000.59
10002|2012|Honda|CR-V|SUV|Blue|50000|11000.65
10003|2014|Hyundai|Elantra|SUV|Silver|100000|30000.2
10004|2005|Nissan|Rogue|truck|Blue|95000|16000.25
10005|2022|Chevrolet|Malibu|SUV|Silver|130000|29000.14
10006|2020|Chevrolet|Malibu|SUV|Black|70000|27000.4
10007|2012|Chevrolet|Equinox|car|Blue|130000|27000.69
10008|2006|Nissan|Altima|SUV|Black|125000|21000.44
10009|2006|Toyota|Camry|SUV|White|90000|37000.68
10010|2020|Nissan|Altima|car|Silver|195000|22000.32
10011|2009|Hyundai|Elantra|truck|White|130000|15000.16
10012|2022|Ford|Focus|car|Black|95000|34000.16
10013|2010|Toyota|Corolla|SUV|White|75000|34000.94
10014|2020|Nissan|Rogue|truck|Red|15000|5000.72
10015|2007|Chevrolet|Malibu|van|Silver|25000|38000.84
10016|2019|Hyundai|Sonata|car|Red|50000|12000.23
10017|2013|Toyota|RAV4|van|Gray|35000|32000.52
10018|2012|Ford|Escape|SUV|Black|185000|34000.99
10019|2010|Ford|Focus|car|White|55000|31000.14
10020|2006|Hyundai|Elantra|van|White|70000|39000.91
10021|2008|Nissan|Sentra|truck|Gray|150000|37000.48
10022|2021|Nissan|Altima|truck|Gray|80000|15000.44
10023|2009|Honda|CR-V|truck|White|95000|11000.5
10024|2007|Honda|Civic|SUV|Red|170000|29000.54
10025|2016|Honda|Civic|car|Black|35000|31000.46
10026|2008|Chevrolet|Silverado|car|Silver|95000|10000.1
10027|2015|Toyota|Camry|SUV|White|185000|17000.46
10028|2015|Toyota|RAV4|truck|Red|20000|12000.4
10029|2009|Chevrolet|Malibu|truck|Red|45000|20000.87
10030|2022|Ford|Focus|van|Silver|45000|34000.72
10031|2011|Ford|Escape|truck|Silver|60000|6000.4
10032|2010|Nissan|Altima|SUV|Black|140000|25000.09
10033|2015|Nissan|Altima|truck|Black|180000|7000.4
10034|2016|Toyota|RAV4|van|Blue|185000|25000.62
10035|2021|Honda|Civic|car|Gray|175000|13000.01
10036|2010|Honda|Accord|van|Red|125000|24000.92
10037|2020|Ford|F-150|SUV|Blue|130000|23000.65
10038|2017|Hyundai|Sonata|van|Silver|130000|38000.02
10039|2016|Honda|Civic|SUV|Silver|135000|38000.66
